timestamp,scenario,inlet_flow_lph,post_treatment_flow_lph,rinse_flow_lph,cip_flow_lph,production_lph,conductivity_uS_cm,turbidity_NTU,temperature_C,cip_active,shift,line_status,wur,total_out,balance_error
2025-01-01 00:00:00,anomaly,1580.26,1313.2,192.79,0,713.81,244.23,0.55,22.0,0,night,running,2.214,1505.99,0.04699859516788375
2025-01-01 00:05:00,anomaly,1431.22,1235.38,178.69,0,723.06,241.01,0.52,22.4,0,night,running,1.979,1414.0700000000002,0.011982783918614792
2025-01-01 00:10:00,anomaly,1422.0,1142.21,194.5,0,662.38,236.37,0.47,19.0,0,night,running,2.147,1336.71,0.059978902953586474
2025-01-01 00:15:00,anomaly,1456.99,1190.51,177.56,0,739.83,255.79,0.66,21.9,0,night,running,1.969,1368.07,0.06102993157125311
2025-01-01 00:20:00,anomaly,1472.55,1228.9,179.43,0,725.61,242.11,0.51,23.2,0,night,running,2.029,1408.3300000000002,0.0436114223625682
2025-01-01 00:25:00,anomaly,1528.48,1275.86,175.8,0,689.12,242.78,0.52,21.4,0,night,running,2.218,1451.6599999999999,0.05025908091698953
2025-01-01 00:30:00,anomaly,1519.72,1245.62,188.32,0,711.56,242.06,0.55,23.9,0,night,running,2.136,1433.9399999999998,0.05644460821730332
2025-01-01 00:35:00,anomaly,1520.42,1242.99,177.13,0,720.7,247.81,0.56,22.3,0,night,running,2.11,1420.12,0.06596861393562317
2025-01-01 00:40:00,anomaly,1427.08,1159.88,196.15,0,708.66,245.54,0.66,23.9,0,night,running,2.014,1356.0300000000002,0.04978697760461903
2025-01-01 00:45:00,anomaly,1522.93,1385.24,198.23,0,702.83,246.59,0.78,22.9,0,night,running,2.167,1583.47,0.03975231954193559
2025-01-01 00:50:00,anomaly,1451.67,1290.56,174.83,0,667.78,245.83,0.48,23.0,0,night,running,2.174,1465.3899999999999,0.009451183808992264
2025-01-01 00:55:00,anomaly,1426.62,1219.96,180.04,0,727.75,236.13,0.66,23.9,0,night,running,1.96,1400.0,0.018659488861785124
2025-01-01 01:00:00,anomaly,1556.9,1320.3,196.04,0,686.34,248.11,0.74,22.2,0,night,running,2.268,1516.34,0.026051769542038777
2025-01-01 01:05:00,anomaly,1418.94,1231.46,183.67,0,708.24,244.12,0.55,23.3,0,night,running,2.003,1415.13,0.0026851029641844935
2025-01-01 01:10:00,anomaly,1422.15,1285.48,204.46,0,710.13,249.97,0.49,22.4,0,night,running,2.003,1489.94,0.04766726435326791
