timestamp,scenario,inlet_flow_lph,post_treatment_flow_lph,rinse_flow_lph,cip_flow_lph,production_lph,conductivity_uS_cm,turbidity_NTU,temperature_C,cip_active,shift,line_status,wur,total_out,balance_error
2025-01-01 00:00:00,optimized,1265.1428700000001,1265.8851764705885,136.77,0,705.64,244.34,0.59,23.7,0,night,running,1.793,1402.6551764705885,0.10869310473258116
2025-01-01 00:05:00,optimized,1213.53111,1221.243294117647,154.14000000000001,0,699.15,244.19,0.52,21.2,0,night,running,1.736,1375.3832941176472,0.13337291708792479
2025-01-01 00:10:00,optimized,1220.0175000000002,1251.8672941176471,132.405,0,733.34,237.39,0.69,22.7,0,night,running,1.664,1384.272294117647,0.13463314593245337
2025-01-01 00:15:00,optimized,1285.53615,1327.1021176470588,151.785,0,697.06,249.33,0.65,21.8,0,night,running,1.844,1478.8871176470589,0.15040492455000892
2025-01-01 00:20:00,optimized,1276.5093299999999,1270.3680000000002,143.97,0,697.71,247.55,0.58,22.3,0,night,running,1.83,1414.3380000000002,0.10797310036112337
2025-01-01 00:25:00,optimized,1285.6583699999999,1295.8672941176471,141.7725,0,701.74,240.96,0.72,21.5,0,night,running,1.832,1437.6397941176472,0.11821291539341615
2025-01-01 00:30:00,optimized,1206.2590200000002,1255.9463529411767,129.555,0,724.65,253.55,0.65,20.4,0,night,running,1.665,1385.5013529411767,0.14859356901735457
2025-01-01 00:35:00,optimized,1218.5595899999998,1234.0291764705885,129.57,0,723.89,242.57,0.67,22.6,0,night,running,1.683,1363.5991764705884,0.11902543598264947
2025-01-01 00:40:00,optimized,1298.08116,1297.6272941176474,157.32,0,692.86,246.72,0.66,22.6,0,night,running,1.874,1454.9472941176473,0.12084462740191633
2025-01-01 00:45:00,optimized,1324.4894100000001,1297.0268235294118,130.5975,0,744.06,244.44,0.65,23.1,0,night,running,1.78,1427.6243235294119,0.07786767697101611
2025-01-01 00:50:00,optimized,1265.03811,1336.1091764705884,143.76749999999998,0,721.47,247.62,0.63,23.1,0,night,running,1.753,1479.8766764705883,0.16982774255756483
2025-01-01 00:55:00,optimized,1301.5644300000001,1266.7962352941177,154.4175,0,704.95,244.17,0.55,21.3,0,night,running,1.846,1421.2137352941177,0.09192730112801065
